protocol_type,service,flag,logged_in,count,srv_serror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_serror_rate,dst_host_rerror_rate,binary class,multi class
1,5,2,1,2,0.5,0.0,1.0,0.0,255,96,0.38,0.1,0.45,0.02,0.0,Normal,normal
1,5,3,1,9,0.0,0.0,1.0,0.0,151,30,0.2,0.03,0.2,0.0,0.0,Normal,normal
2,8,3,0,243,0.0,0.0,1.0,0.0,255,255,1.0,0.0,0.86,0.0,0.0,Normal,normal
0,4,3,0,1,0.0,0.0,1.0,0.0,4,108,1.0,0.0,1.0,0.0,0.0,Attack,probe
1,6,1,0,267,0.0,1.0,0.04,0.06,255,12,0.05,0.07,0.0,0.0,1.0,Attack,dos
1,9,0,0,290,1.0,0.0,0.07,0.06,255,10,0.04,0.05,0.0,1.0,0.0,Attack,dos
2,7,3,0,155,0.0,0.0,0.01,1.0,255,1,0.0,0.66,0.99,0.0,0.0,Attack,probe
1,5,0,0,481,0.17,0.83,0.05,0.95,255,22,0.09,0.92,0.0,0.11,0.89,Attack,probe
1,1,0,0,101,1.0,0.0,0.01,0.05,255,1,0.0,0.05,0.0,1.0,0.0,Attack,dos
1,3,0,0,134,1.0,0.0,0.04,0.09,255,5,0.02,0.09,0.0,1.0,0.0,Attack,dos
1,2,0,0,245,1.0,0.0,0.02,0.06,255,4,0.02,0.05,0.0,1.0,0.0,Attack,dos
1,0,1,0,243,0.0,1.0,0.08,0.07,255,19,0.07,0.07,0.0,0.0,1.0,Attack,dos
1,10,0,0,143,1.0,0.0,0.14,0.04,255,20,0.08,0.04,0.0,1.0,0.0,Attack,dos
